state, lat, lon
 "Florida", 28.36981155, -81.52129728
 "New York", 40.6914, -73.8061
 "Illinois", 42.07062441, -88.14768791
 "Illinois", 42.27067476, -88.95338668
 "Florida", 26.350777, -80.069251
 "Illinois", 41.97978805, -87.86763687
 "Florida", 26.350777, -80.069251
 "New York", 40.77492675, -73.98186371
 "Illinois", 42.39100861, -87.9599762
 "New York", 40.75475949, -73.92390937
 "Maryland", 39.1495456, -77.2731832
 "Florida", 28.566927, -81.206337
 "Michigan", 42.54578408, -83.21274856
 "Florida", 25.70519148, -80.28632641
 "Alabama", 33.50150371, -86.75668791
 "Ohio", 39.03722412, -82.62475314
 "Georgia", 33.75970618, -84.39834103
 "Massachusetts", 42.3331635, -71.0367301
 "Maryland", 39.08423592, -77.15006002
 "Maryland", 39.08423592, -77.15006002
 "New York", 40.77511434, -73.9665699
 "New York", 40.86689344, -73.82531036
 "Illinois", 41.86057117, -88.33867951
 "Michigan", 43.00106141, -85.59321642
 "New York", 41.42793714, -73.57591557
 "New York", 40.73850832, -73.98997896
 "Massachusetts", 42.52028834, -71.08965397
 "Florida", 28.06942395, -82.57573247
 "New York", 40.77492675, -73.98186371
 "New York", 40.56703286, -74.1096823
 "North Carolina", 35.83667743, -78.64204456
 "Illinois", 41.71293697, -88.20888519
 "Pennsylvania", 40.40656857, -79.91766214
 "Massachusetts", 42.11247853, -71.54766798
 "Virginia", 36.83531, -76.3018
 "Wisconsin", 43.1221547, -87.91422857
 "New York", 40.75687433, -73.98902033
 "Illinois", 42.03933323, -88.03473473
 "New York", 42.95414286, -78.69392694
 "New Jersey", 39.94298127, -74.96293877
 "Michigan", 42.43491866, -83.18006711
 "North Carolina", 35.9161268, -78.5431461
 "Massachusetts", 42.34628089, -71.13969082
 "Florida", 28.36981155, -81.52129728
 "Ohio", 41.42094356, -82.66787052
 "Ohio", 41.42094356, -82.66787052
 "New York", 40.77511434, -73.9665699
 "Virginia", 37.3639841, -79.17834148
 "Georgia", 33.91693768, -84.38089761
 "New York", 40.74276196, -73.97692323
 "Georgia", 33.91693768, -84.38089761
 "Georgia", 33.91693768, -84.38089761
 "Georgia", 33.91693768, -84.38089761
 "Georgia", 34.06551045, -83.98464404
 "Georgia", 33.91693768, -84.38089761
 "New York", 40.75687433, -73.98902033
 "Illinois", 41.90954114, -87.84585544
 "North Carolina", 36.06804158, -80.33889771
 "Ohio", 41.42094356, -82.66787052
 "Virginia", 39.05198504, -77.45502949
 "New York", 40.74166, -74.00782
 "New York", 40.73981118, -73.6155653
 "South Carolina", 32.945919, -80.0423279
 "Virginia", 38.91125534, -77.44314194
 "Pennsylvania", 40.56056905, -75.40929794
 "Michigan", 42.49067542, -83.48553658
 "Ohio", 41.46105115, -81.95240873
 "North Carolina", 35.48498858, -82.55787385
 "Florida", 25.70487558, -80.28618294
 "Florida", 28.36981155, -81.52129728
 "New York", 41.09765847, -73.95721436
 "New Jersey", 40.79340869, -74.25605536
 "Pennsylvania", 40.76893927, -76.22383118
 "Virginia", 37.63741631, -77.54504186
 "Ohio", 40.75888889, -82.52111111
 "Wisconsin", 43.18634158, -88.13434124
 "Massachusetts", 42.2786, -71.8408
 "South Carolina", 33.85187, -81.59833
 "Massachusetts", 42.34627143, -71.13969388
 "New York", 40.58867144, -73.65830894
 "New Jersey", 39.93644437, -75.02820969
 "Florida", 30.32693446, -81.55468941
 "Virginia", 38.88884, -77.08446
 "New York", 40.83107861, -73.09421629
 "Massachusetts", 42.34631657, -71.13966064
 "North Carolina", 35.58780493, -80.85673858
 "Virginia", 38.82848538, -77.81405738
 "Florida", 28.66296549, -81.23441577
 "Ohio", 41.45812313, -81.85922851
 "Florida", 30.32693446, -81.55468941
 "Florida", 26.10462309, -80.36134723
 "Florida", 27.9542084, -81.61426194
 "North Carolina", 36.03771732, -79.84374046
 "Ohio", 40.89894942, -81.15540504
 "Ohio", 41.11013391, -81.47110443
 "Ohio", 41.11013391, -81.47110443
 "Florida", 26.12099, -80.14797
 "Wisconsin", 44.06861621, -87.70508729
